悪	 安	 暗	 以	 意	 医	 育	 一	 員	 引
飲	 院	 右	 雨	 運	 映	 泳	 英	 駅	 円
園	 遠	 横	 屋	 温	 音	 下	 化	 何	 夏
家	 科	 歌	 火	 花	 荷	 画	 会	 回	 海
界	 皆	 絵	 開	 階	 外	 学	 楽	 活	 寒
漢	 間	 関	 館	 顔	 願	 期	 機	 帰	 気
記	 起	 休	 急	 泣	 究	 牛	 去	 魚	 京
強	 教	 橋	 業	 局	 近	 金	 九	 空	 係
兄	 形	 経	 計	 決	 結	 月	 犬	 見	 験
元	 現	 言	 個	 古	 五	 午	 後	 語	 公
口	 向	 好	 工	 広	 校	 港	 考	 行	 降
高	 号	 合	 国	 黒	 今	 困	 婚	 左	 最
歳	 祭	 際	 作	 昨	 雑	 三	 山	 残	 仕
使	 四	 始	 姉	 子	 市	 思	 指	 止	 私
紙	 試	 事	 字	 寺	 持	 時	 次	 治	 自
辞	 式	 七	 失	 室	 実	 写	 社	 者	 車
若	 主	 取	 手	 酒	 受	 授	 州	 秋	 終
習	 週	 集	 住	 十	 重	 宿	 出	 術	 春
初	 所	 暑	 書	 女	 商	 小	 少	 笑	 上
乗	 場	 色	 食	 信	 寝	 心	 新	 森	 神
親	 身	 進	 人	 図	 水	 数	 世	 制	 成
晴	 正	 生	 西	 青	 静	 昔	 石	 赤	 切
接	 節	 説	 雪	 先	 千	 専	 川	 洗	 線
選	 前	 然	 全	 組	 早	 相	 走	 送	 贈
側	 足	 速	 族	 続	 卒	 村	 多	 太	 打
体	 対	 待	 貸	 台	 大	 第	 題	 達	 単
短	 男	 知	 地	 池	 置	 遅	 茶	 着	 中
昼	 注	 朝	 町	 調	 長	 鳥	 痛	 通	 低
定	 庭	 弟	 的	 天	 店	 転	 点	 伝	 田
電	 登	 都	 度	 土	 冬	 島	 東	 答	 頭
働	 動	 同	 道	 特	 読	 内	 南	 難	 二
肉	 日	 入	 熱	 年	 背	 配	 買	 売	 白
八	 発	 半	 反	 飯	 晩	 番	 非	 飛	 美
鼻	 必	 百	 氷	 表	 病	 品	 不	 付	 夫
婦	 父	 部	 風	 服	 払	 物	 分	 文	 聞
平	 別	 変	 便	 勉	 歩	 母	 方	 法	 忘
忙	 北	 本	 妹	 枚	 毎	 末	 万	 味	 未
無	 名	 明	 面	 木	 目	 問	 門	 夜	 野
薬	 友	 有	 由	 遊	 夕	 予	 曜	 様	 洋
用	 要	 来	 絡	 落	 利	 理	 立	 留	 旅
両	 料	 力	 林	 冷	 礼	 練	 六	 和	 話
